"BehaviorSpace results (NetLogo 5.3.1)"
"Amsterdam_v6.3.nlogo"
"red fixed buses with green/yellow flex buses 0.5"
"04/01/2018 09:52:43:337 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","30"
"[run number]","green_bus_ratio","red_bus_ratio","fixed_bus_size","yellow_bus_ratio","[step]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
"2","0.5","10","150","1.5","41","27.4","33.229729729729726","35.140625","146409.5","767","20","5","7","8"
"3","0.5","10","150","2","45","29.263157894736842","36.16216216216216","39.54545454545455","152476.5","841","21","5","7","9"
"1","0.5","10","150","1","45","28.7","36.21621621621622","40","122481.5","469","16","6","7","3"
"2","0.5","10","150","1.5","42","27.4","34.0945945945946","36.140625","146421","767","20","4","7","9"
"3","0.5","10","150","2","46","29.263157894736842","36.9054054054054","40.54545454545455","152489","841","21","5","7","9"
"1","0.5","10","150","1","46","28.7","36.945945945945944","41","122495","469","16","6","7","3"
"2","0.5","10","150","1.5","43","27.4","34.95945945945946","37.140625","146431.5","792","20","4","7","9"
"3","0.5","10","150","2","47","29.263157894736842","37.648648648648646","41.54545454545455","152500.5","861","21","5","7","9"
"1","0.5","10","150","1","47","28.7","37.67567567567568","42","122508.5","469","16","6","7","3"
"2","0.5","10","150","1.5","44","28.6","35.82432432432432","38.66101694915254","146442","792","20","3","7","10"
"3","0.5","10","150","2","48","30.15","38.391891891891895","42.44444444444444","152512","861","21","4","7","10"
"1","0.5","10","150","1","48","29.571428571428573","38.4054054054054","42.905660377358494","122522","469","16","6","7","3"
"2","0.5","10","150","1.5","45","30.333333333333332","36.62162162162162","39.642857142857146","146452.5","792","20","3","7","10"
"3","0.5","10","150","2","49","30.15","39.12162162162162","43.44444444444444","152523.5","861","21","4","7","10"
"1","0.5","10","150","1","49","30.40909090909091","39.12162162162162","43.80769230769231","122535.5","469","16","6","7","3"
"2","0.5","10","150","1.5","46","30.333333333333332","37.37837837837838","40.642857142857146","146461","830","20","3","7","10"
"3","0.5","10","150","2","50","31.52","39.851351351351354","45.10204081632653","152535","876","21","4","7","10"
"1","0.5","10","150","1","50","31.44","39.82432432432432","45.10204081632653","122549","484","16","6","7","3"
"2","0.5","10","150","1.5","47","30.333333333333332","38.13513513513514","41.642857142857146","146469.5","830","20","1","7","12"
"3","0.5","10","150","2","51","32.23076923076923","40.513513513513516","46","152546.5","886","21","4","7","10"
"1","0.5","10","150","1","51","32.81481481481482","40.486486486486484","45.8936170212766","122562.5","494","16","6","7","3"
"2","0.5","10","150","1.5","48","31.210526315789473","38.891891891891895","42.54545454545455","152479","871","21","1","7","12"
"3","0.5","10","150","2","52","32.23076923076923","41.16216216216216","47","152556","926","21","4","7","10"
