"BehaviorSpace results (NetLogo 5.3.1)"
"Amsterdam_v6.3.nlogo"
"red fixed buses with green/yellow flex buses 0.5"
"04/01/2018 00:39:46:968 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","40","0","30"
"[run number]","green_bus_ratio","red_bus_ratio","fixed_bus_size","yellow_bus_ratio","[step]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
"2","0.5","10","150","1.5","39","25.11111111111111","31.364864864864863","33.23076923076923","134403.5","623","18","5","7","6"
"3","0.5","10","150","2","38","28.166666666666668","30.5","31.951612903225808","140361.5","655","19","4","7","8"
"1","0.5","10","150","1","38","26.7","30.54054054054054","32.140625","146391","716","20","5","7","8"
"3","0.5","10","150","2","39","27.76923076923077","31.33783783783784","33.09836065573771","146374","694","20","4","7","8"
"2","0.5","10","150","1.5","40","26.272727272727273","32.24324324324324","34.285714285714285","140414","694","19","2","7","9"
"1","0.5","10","150","1","39","26.363636363636363","31.405405405405407","33.285714285714285","146403.5","716","20","5","7","8"
"3","0.5","10","150","2","40","27.0625","32.16216216216216","34.56896551724138","146386.5","743","20","5","7","8"
"2","0.5","10","150","1.5","41","26.272727272727273","33.0945945945946","35.285714285714285","140424.5","712","19","3","7","9"
"1","0.5","10","150","1","40","26.733333333333334","32.25675675675676","34.66101694915254","146416","746","20","5","7","8"
"3","0.5","10","150","2","41","27.0625","32.945945945945944","35.56896551724138","146399","743","20","5","7","8"
"2","0.5","10","150","1.5","42","26.272727272727273","33.945945945945944","36.285714285714285","146436","751","20","3","7","9"
"1","0.5","10","150","1","41","26.733333333333334","33.054054054054056","35.66101694915254","146428.5","746","20","5","7","8"
"3","0.5","10","150","2","42","27.0625","33.729729729729726","36.56896551724138","146411.5","743","20","5","7","8"
"2","0.5","10","150","1.5","43","26.272727272727273","34.7972972972973","37.285714285714285","146447.5","777","20","4","7","9"
"1","0.5","10","150","1","42","26.733333333333334","33.851351351351354","36.66101694915254","146440","765","20","5","7","8"
"3","0.5","10","150","2","43","27.0625","34.513513513513516","37.56896551724138","146423","768","20","5","7","8"
"2","0.5","10","150","1.5","44","27.75","35.648648648648646","38.827586206896555","146459","777","20","4","7","9"
"1","0.5","10","150","1","43","26.733333333333334","34.648648648648646","37.66101694915254","146450.5","790","20","4","7","9"
"3","0.5","10","150","2","44","27.0625","35.2972972972973","38.56896551724138","146434.5","768","20","4","7","9"
"2","0.5","10","150","1.5","45","29.526315789473685","36.432432432432435","39.81818181818182","146469.5","796","20","4","7","9"
"1","0.5","10","150","1","44","26.733333333333334","35.445945945945944","38.66101694915254","146461","791","20","3","7","10"
"3","0.5","10","150","2","45","28.94736842105263","36.08108108108108","39.54545454545455","146446","768","20","4","7","9"
"2","0.5","10","150","1.5","46","29.526315789473685","37.17567567567568","40.81818181818182","146480","796","20","3","7","10"
"1","0.5","10","150","1","45","28.77777777777778","36.24324324324324","39.642857142857146","146470.5","811","20","3","7","10"
"3","0.5","10","150","2","46","28.94736842105263","36.82432432432432","40.54545454545455","146456.5","787","20","4","7","9"
"2","0.5","10","150","1.5","47","30.35","37.91891891891892","41.72222222222222","146490.5","796","20","3","7","10"
"1","0.5","10","150","1","46","28.77777777777778","37","40.642857142857146","152481","851","21","2","7","11"
"3","0.5","10","150","2","47","28.94736842105263","37.567567567567565","41.54545454545455","146467","787","20","3","7","10"
"2","0.5","10","150","1.5","48","31.142857142857142","38.648648648648646","42.62264150943396","146501","796","20","3","7","10"
"1","0.5","10","150","1","47","28.77777777777778","37.75675675675676","41.642857142857146","152491.5","871","21","3","7","11"
"3","0.5","10","150","2","48","29.85","38.310810810810814","42.44444444444444","146477.5","787","20","3","7","10"
"2","0.5","10","150","1.5","49","31.142857142857142","39.36486486486486","43.62264150943396","146510.5","815","20","3","7","10"
"1","0.5","10","150","1","48","29.736842105263158","38.513513513513516","42.54545454545455","152501","891","21","3","7","11"
"3","0.5","10","150","2","49","29.85","39.04054054054054","43.44444444444444","146488","787","20","3","7","10"
"2","0.5","10","150","1.5","50","32.888888888888886","40.08108108108108","45.212765957446805","146520","830","20","2","7","11"
"1","0.5","10","150","1","49","30.65","39.25675675675676","43.44444444444444","152510.5","891","21","2","7","12"
"3","0.5","10","150","2","50","31.28","39.770270270270274","45.10204081632653","146498.5","807","20","3","7","10"
"2","0.5","10","150","1.5","51","33.5","40.71621621621622","46.108695652173914","146528.5","859","20","2","7","11"
"1","0.5","10","150","1","50","31.92","39.986486486486484","45.10204081632653","152520","903","21","2","7","12"
"3","0.5","10","150","2","51","32","40.432432432432435","46","146509","807","20","3","7","10"
"2","0.5","10","150","1.5","52","33.5","41.33783783783784","47.108695652173914","146537","859","20","1","7","12"
"1","0.5","10","150","1","51","32.61538461538461","40.648648648648646","46","152529.5","912","21","2","7","12"
"3","0.5","10","150","2","52","32","41.08108108108108","47","146518.5","826","20","3","7","10"
"2","0.5","10","150","1.5","53","33.5","41.95945945945946","48.108695652173914","146545.5","864","20","1","7","12"
"1","0.5","10","150","1","52","32.61538461538461","41.2972972972973","47","158540","954","22","2","7","12"
"3","0.5","10","150","2","53","32","41.729729729729726","48","146527","849","20","2","7","11"
"2","0.5","10","150","1.5","54","34.172413793103445","42.58108108108108","49","146554","865","20","1","7","12"
"1","0.5","10","150","1","53","32.61538461538461","41.945945945945944","48","158550.5","979","22","3","7","12"
