"[all run data]","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle","average_travelling_time","final_average_travelling_time","average_travelling_time_remaining","expenses","number_of_messages","count buses","total_flexbus","total_fixedbus","total_idle"
,"23","21.67142857142857","22.652173913043477","104213","249","12","1","7","4","23","21.67142857142857","22.652173913043477","98207","214","12","2","7","3","23","21.67142857142857","22.652173913043477","98207","214","12","2","7","3","23","21.67142857142857","22.652173913043477","98207","214","12","2","7","3","23","21.67142857142857","22.652173913043477","98212.5","216","12","2","7","3"
,"23","22.65714285714286","23.652173913043477","104221.5","249","12","1","7","4","23","22.65714285714286","23.652173913043477","98216.5","214","12","2","7","3","23","22.65714285714286","23.652173913043477","98216.5","214","12","2","7","3","23","22.65714285714286","23.652173913043477","98216.5","214","12","2","7","3","20.666666666666668","22.65714285714286","23.746268656716417","98222","216","12","2","7","3"
,"23","23.642857142857142","24.652173913043477","104228.5","260","12","1","7","4","21.333333333333332","23.642857142857142","24.746268656716417","98226","214","12","2","7","3","21.333333333333332","23.642857142857142","24.746268656716417","98226","214","12","2","7","3","21.333333333333332","23.642857142857142","24.746268656716417","98226","214","12","2","7","3","20.666666666666668","23.614285714285714","24.746268656716417","98231.5","216","12","2","7","3"
,"23","24.62857142857143","25.652173913043477","104235.5","297","12","0","7","5","21.333333333333332","24.6","25.746268656716417","98235.5","254","12","2","7","3","21.333333333333332","24.6","25.746268656716417","98235.5","238","12","2","7","3","21.333333333333332","24.6","25.746268656716417","98235.5","249","12","2","7","3","20.666666666666668","24.571428571428573","25.746268656716417","98241","256","12","2","7","3"
,"23","24.22972972972973","25.246575342465754","104244","345","12","0","7","5","21.333333333333332","24.175675675675677","25.295774647887324","98245","254","12","2","7","3","21.333333333333332","24.175675675675677","25.295774647887324","98245","254","12","2","7","3","21.333333333333332","24.175675675675677","25.295774647887324","98245","249","12","2","7","3","20.666666666666668","24.14864864864865","25.295774647887324","98250.5","256","12","2","7","3"
,"27","25.216216216216218","26.166666666666668","104252.5","345","12","1","7","4","23.75","25.135135135135137","26.214285714285715","98254.5","254","12","2","7","3","23.75","25.135135135135137","26.214285714285715","98254.5","254","12","2","7","3","23.75","25.135135135135137","26.214285714285715","98254.5","249","12","2","7","3","23.25","25.10810810810811","26.214285714285715","98260","256","12","2","7","3"
,"27","26.18918918918919","27.166666666666668","104261","355","12","1","7","4","23.75","26.08108108108108","27.214285714285715","98264","263","12","2","7","3","23.75","26.08108108108108","27.214285714285715","98264","262","12","2","7","3","23.75","26.08108108108108","27.214285714285715","98264","258","12","2","7","3","23.25","26.054054054054053","27.214285714285715","98269.5","264","12","2","7","3"
,"27","27.16216216216216","28.166666666666668","104271","368","12","1","7","4","23.75","27.027027027027028","28.214285714285715","98273.5","263","12","2","7","3","23.75","27.027027027027028","28.214285714285715","98273.5","262","12","2","7","3","23.75","27.027027027027028","28.214285714285715","98273.5","258","12","2","7","3","23.25","27","28.214285714285715","98279","264","12","2","7","3"
,"27","28.135135135135137","29.166666666666668","104281","368","12","2","7","3","23.75","27.972972972972972","29.214285714285715","98283","263","12","2","7","3","23.75","27.972972972972972","29.214285714285715","98283","262","12","2","7","3","23.75","27.972972972972972","29.214285714285715","98283","258","12","2","7","3","23.25","27.945945945945947","29.214285714285715","98288.5","264","12","2","7","3"
,"29.666666666666668","29.10810810810811","30.08450704225352","104291","368","12","2","7","3","26","28.91891891891892","30.130434782608695","98292.5","263","12","2","7","3","26","28.91891891891892","30.130434782608695","98292.5","262","12","2","7","3","26","28.91891891891892","30.130434782608695","98292.5","258","12","2","7","3","25.6","28.89189189189189","30.130434782608695","98298","264","12","2","7","3"
,"29.666666666666668","30.06756756756757","31.08450704225352","104299.5","379","12","2","7","3","26","29.85135135135135","31.130434782608695","98302","263","12","2","7","3","26","29.85135135135135","31.130434782608695","98302","262","12","2","7","3","26","29.85135135135135","31.130434782608695","98302","258","12","2","7","3","27.333333333333332","29.824324324324323","31.044117647058822","98307.5","264","12","2","7","3"
,"31.5","31.027027027027028","32","104308","379","12","1","7","4","29.142857142857142","30.783783783783782","31.955223880597014","98311.5","263","12","2","7","3","29.142857142857142","30.783783783783782","31.955223880597014","98311.5","262","12","2","7","3","29.142857142857142","30.783783783783782","31.955223880597014","98311.5","258","12","2","7","3","28.714285714285715","30.743243243243242","31.955223880597014","98317","264","12","2","7","3"
,"31.166666666666668","31.972972972972972","33.044117647058826","104315","391","12","1","7","4","28.375","31.68918918918919","33.09090909090909","98321","263","12","2","7","3","28.375","31.68918918918919","33.09090909090909","98321","262","12","2","7","3","28.375","31.68918918918919","33.09090909090909","98321","258","12","2","7","3","28","31.64864864864865","33.09090909090909","98326.5","264","12","2","7","3"
,"31.166666666666668","32.891891891891895","34.044117647058826","104323.5","467","12","0","7","5","28.375","32.58108108108108","34.09090909090909","98330.5","303","12","2","7","3","28.375","32.58108108108108","34.09090909090909","98330.5","302","12","2","7","3","28.375","32.58108108108108","34.09090909090909","98330.5","293","12","2","7","3","27.615384615384617","32.54054054054054","34.59016393442623","98336","288","12","2","7","3"
,"31.166666666666668","33.810810810810814","35.044117647058826","104332","467","12","1","7","4","28.23076923076923","33.472972972972975","35.59016393442623","98340","303","12","2","7","3","28.23076923076923","33.472972972972975","35.59016393442623","98340","302","12","2","7","3","28.23076923076923","33.472972972972975","35.59016393442623","98340","293","12","2","7","3","27.615384615384617","33.36486486486486","35.59016393442623","98345.5","304","12","2","7","3"
,"31.166666666666668","34.729729729729726","36.044117647058826","104340.5","467","12","1","7","4","28.23076923076923","34.2972972972973","36.59016393442623","98349.5","303","12","2","7","3","28.23076923076923","34.2972972972973","36.59016393442623","98349.5","302","12","2","7","3","28.23076923076923","34.2972972972973","36.59016393442623","98349.5","293","12","2","7","3","27.615384615384617","34.189189189189186","36.59016393442623","98355","304","12","2","7","3"
,"31.166666666666668","35.648648648648646","37.044117647058826","104349","477","12","1","7","4","28.23076923076923","35.12162162162162","37.59016393442623","98359","311","12","2","7","3","28.23076923076923","35.12162162162162","37.59016393442623","98359","310","12","2","7","3","28.23076923076923","35.12162162162162","37.59016393442623","98359","300","12","2","7","3","27.615384615384617","35.013513513513516","37.59016393442623","98364.5","312","12","2","7","3"
,"31.166666666666668","36.567567567567565","38.044117647058826","104357.5","477","12","1","7","4","28.23076923076923","35.945945945945944","38.59016393442623","98368.5","312","12","2","7","3","28.23076923076923","35.945945945945944","38.59016393442623","98368.5","310","12","2","7","3","28.23076923076923","35.945945945945944","38.59016393442623","98368.5","301","12","2","7","3","27.615384615384617","35.83783783783784","38.59016393442623","98374","312","12","2","7","3"
,"33.77777777777778","37.486486486486484","39","104366","477","12","1","7","4","30.25","36.770270270270274","39.56896551724138","98378","312","12","2","7","3","30.25","36.770270270270274","39.56896551724138","98378","310","12","2","7","3","30.25","36.770270270270274","39.56896551724138","98378","301","12","2","7","3","29.75","36.66216216216216","39.56896551724138","98383.5","312","12","2","7","3"
,"33.77777777777778","38.36486486486486","40","104374.5","477","12","1","7","4","30.25","37.554054054054056","40.56896551724138","98387.5","312","12","2","7","3","30.25","37.554054054054056","40.56896551724138","98387.5","310","12","2","7","3","30.25","37.554054054054056","40.56896551724138","98387.5","301","12","2","7","3","29.75","37.445945945945944","40.56896551724138","98393","312","12","2","7","3"
,"33.77777777777778","39.24324324324324","41","104383","477","12","1","7","4","30.25","38.33783783783784","41.56896551724138","98397","312","12","2","7","3","30.25","38.33783783783784","41.56896551724138","98397","310","12","2","7","3","30.25","38.33783783783784","41.56896551724138","98397","301","12","2","7","3","29.75","38.229729729729726","41.56896551724138","98402.5","312","12","2","7","3"
,"35.1","40.12162162162162","41.90625","104391.5","477","12","1","7","4","31.235294117647058","39.12162162162162","42.473684210526315","98406.5","312","12","2","7","3","31.235294117647058","39.12162162162162","42.473684210526315","98406.5","310","12","2","7","3","31.235294117647058","39.12162162162162","42.473684210526315","98406.5","301","12","2","7","3","30.764705882352942","39.013513513513516","42.473684210526315","98412","312","12","2","7","3"
